zip5,po_name,primary_ruca,secondary_ruca,ruca_category
33065,Coral Springs,1,1,urban
33066,Pompano Beach,1,1,urban
33067,Pompano Beach,1,1,urban
33068,Pompano Beach,1,1,urban
33069,Pompano Beach,1,1,urban
33070,Tavernier,4,4,suburban
33071,Coral Springs,1,1,urban
33073,Pompano Beach,1,1,urban
33074,Pompano Beach,1,1,urban
33075,Coral Springs,1,1,urban
33076,Pompano Beach,1,1,urban
33077,Pompano Beach,1,1,urban
33081,Hollywood,1,1,urban
33082,Pembroke Pines,1,1,urban
33083,Hollywood,1,1,urban
33084,Hollywood,1,1,urban
33090,Homestead,1,1,urban
33092,Homestead,1,1,urban
33093,Margate,1,1,urban
33097,Coconut Creek,1,1,urban
33101,Miami,1,1,urban
33102,Miami,1,1,urban
33106,Miami,1,1,urban
33109,Miami Beach,1,1,urban
33111,Miami,1,1,urban
33112,Miami,1,1,urban
33114,Coral Gables,1,1,urban
33116,Miami,1,1,urban
33119,Miami Beach,1,1,urban
33122,Miami,1,1,urban
33124,Miami,1,1,urban
33125,Miami,1,1,urban
33126,Miami,1,1,urban
33127,Miami,1,1,urban
33128,Miami,1,1,urban
33129,Miami,1,1,urban
33130,Miami,1,1,urban
33131,Miami,1,1,urban
33132,Miami,1,1,urban
33133,Miami,1,1,urban
33134,Miami,1,1,urban
33135,Miami,1,1,urban
33136,Miami,1,1,urban
33137,Miami,1,1,urban
33138,Miami,1,1,urban
33139,Miami Beach,1,1,urban
33140,Miami Beach,1,1,urban
33141,Miami Beach,1,1,urban
33142,Miami,1,1,urban
33143,Miami,1,1,urban
33144,Miami,1,1,urban
33145,Miami,1,1,urban
33146,Miami,1,1,urban
33147,Miami,1,1,urban
33149,Key Biscayne,1,1,urban
33150,Miami,1,1,urban
33151,Miami,1,1,urban
33152,Miami,1,1,urban
33153,Miami,1,1,urban
33154,Miami Beach,1,1,urban
33155,Miami,1,1,urban
33156,Miami,1,1,urban
33157,Miami,1,1,urban
33158,Miami,1,1,urban
33160,North Miami Beach,1,1,urban
33161,Miami,1,1,urban
33162,Miami,1,1,urban
33163,Miami,1,1,urban
33164,Miami,1,1,urban
33165,Miami,1,1,urban
33166,Miami,1,1,urban
33167,Miami,1,1,urban
33168,Miami,1,1,urban
33169,Miami,1,1,urban
33170,Miami,1,1,urban
33172,Miami,1,1,urban
33173,Miami,1,1,urban
33174,Miami,1,1,urban
33175,Miami,1,1,urban
33176,Miami,1,1,urban
33177,Miami,1,1,urban
33178,Miami,1,1,urban
33179,Miami,1,1,urban
33180,Miami,1,1,urban
33181,Miami,1,1,urban
33182,Miami,1,1,urban
33183,Miami,1,1,urban
33184,Miami,1,1,urban
33185,Miami,1,1,urban
33186,Miami,1,1,urban
33187,Miami,1,1,urban
33188,Miami,1,1,urban
33189,Miami,1,1,urban
33190,Miami,1,1,urban
33191,Miami,1,1,urban
33192,Miami,1,1,urban
33193,Miami,1,1,urban
33194,Miami,1,1,urban
